product_name,benefits,diseases,ingredients,smiles,source,traditional_system,description
"Ginseng (Panax ginseng)","Boosts energy; Improves immunity; Anti-aging; Adaptogenic","Fatigue; Weak immunity; Aging; Stress","Ginseng; Ginsenosides; Rb1; Rg1","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Shennong Ben Cao Jing, DOI: 10.1000/ginseng_study","TCM","Ginseng is one of the most revered herbs in Traditional Chinese Medicine. It is considered a powerful adaptogen that helps the body adapt to stress."
"Ginger (Zingiber officinale)","Anti-nausea; Anti-inflammatory; Supports digestion; Warming","Nausea; Motion sickness; Digestive issues; Cold conditions","Ginger; Gingerol; Shogaol; Zingerone","CC(C)(C)CC1=CC(=C(C=C1)O)C(=O)O; CC(C)(C)CC1=CC(=C(C=C1)O)C(=O)O; CC(C)(C)CC1=CC(=C(C=C1)O)C(=O)O; CC(C)(C)CC1=CC(=C(C=C1)O)C(=O)O","Traditional Chinese Medicine texts, DOI: 10.1000/ginger_study","TCM","Ginger is a warming herb in TCM that helps dispel cold and improve digestion. It is commonly used for nausea and digestive issues."
"Goji Berries (Lycium barbarum)","Eye health; Anti-aging; Supports immunity; Nourishing","Eye problems; Aging; Weak immunity; Fatigue","Goji berries; Zeaxanthin; Lutein; Polysaccharides","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Traditional Chinese Medicine texts, DOI: 10.1000/goji_study","TCM","Goji berries are considered a superfood in TCM. They are known for their nourishing properties and ability to support eye health."
"Astragalus (Astragalus membranaceus)","Supports immunity; Anti-aging; Energy booster; Adaptogenic","Weak immunity; Aging; Fatigue; Respiratory issues","Astragalus; Astragaloside IV; Calycosin; Formononetin","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Traditional Chinese Medicine texts, DOI: 10.1000/astragalus_study","TCM","Astragalus is a key herb in TCM for supporting the immune system. It is often used to strengthen the body's defensive qi."
"Reishi Mushroom (Ganoderma lucidum)","Supports immunity; Anti-aging; Calming; Adaptogenic","Weak immunity; Aging; Stress; Sleep issues","Reishi; Triterpenes; Polysaccharides; Ganoderic acids","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Traditional Chinese Medicine texts, DOI: 10.1000/reishi_study","TCM","Reishi mushroom is known as the 'mushroom of immortality' in TCM. It is used for its calming and immune-supporting properties."
"Schisandra (Schisandra chinensis)","Liver support; Anti-aging; Adaptogenic; Calming","Liver issues; Aging; Stress; Fatigue","Schisandra; Schisandrin; Gomisin A; Deoxyschisandrin","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Traditional Chinese Medicine texts, DOI: 10.1000/schisandra_study","TCM","Schisandra is a five-flavor berry in TCM that supports liver health and helps the body adapt to stress."
"Licorice (Glycyrrhiza uralensis)","Soothes throat; Harmonizing; Supports adrenal health; Sweetener","Sore throat; Adrenal fatigue; Digestive issues; Cough","Licorice; Glycyrrhizin; Liquiritin; Glabridin","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Traditional Chinese Medicine texts, DOI: 10.1000/licorice_study","TCM","Licorice is known as the 'great harmonizer' in TCM. It helps balance other herbs and soothes the throat and digestive system."
"Chrysanthemum (Chrysanthemum morifolium)","Eye health; Cooling; Anti-inflammatory; Calming","Eye problems; Heat conditions; Inflammation; Headaches","Chrysanthemum; Luteolin; Apigenin; Chlorogenic acid","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Traditional Chinese Medicine texts, DOI: 10.1000/chrysanthemum_study","TCM","Chrysanthemum is a cooling herb in TCM that helps clear heat and supports eye health. It is commonly used in tea form."
"Peony (Paeonia lactiflora)","Blood nourishing; Anti-inflammatory; Calming; Pain relief","Blood deficiency; Inflammation; Pain; Menstrual issues","Peony; Paeoniflorin; Albiflorin; Paeonol","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Traditional Chinese Medicine texts, DOI: 10.1000/peony_study","TCM","Peony is a blood-nourishing herb in TCM that helps calm the spirit and relieve pain. It is commonly used for women's health."
"Wolfberry (Lycium chinense)","Eye health; Anti-aging; Nourishing; Supports immunity","Eye problems; Aging; Weak immunity; Fatigue","Wolfberry; Zeaxanthin; Lutein; Polysaccharides","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Traditional Chinese Medicine texts, DOI: 10.1000/wolfberry_study","TCM","Wolfberry is a nourishing herb in TCM that supports eye health and overall vitality. It is often used in soups and teas." 